scheme_name,ministry,description,eligibility,target_beneficiaries,benefits,application_process,application_link,state,category,source_url
Pradhan Mantri Jan Dhan Yojana (PMJDY),Ministry of Finance,"National Mission for Financial Inclusion to ensure access to financial services like Banking/Savings & Deposit Accounts, Remittance, Credit, Insurance, Pension in an affordable manner.",Any Indian citizen above 10 years of age who does not have a bank account,"Unbanked population, rural and urban poor","Zero balance bank account, RuPay debit card, accidental insurance cover of Rs 2 lakh, overdraft facility up to Rs 10,000",Visit nearest bank branch with Aadhaar card or any other identity proof,https://pmjdy.gov.in/,Central,finance_subsidy,https://pmjdy.gov.in/
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Ministry of Agriculture & Farmers Welfare,Income support scheme for farmer families having cultivable land. Provides Rs 6000 per year in three equal installments.,Small and marginal farmer families with cultivable landholding,Farmers,Rs 6000 per year transferred directly to bank account in three installments,"Register through local revenue officer, Common Service Centre, or PM-KISAN portal",https://pmkisan.gov.in/,Central,agriculture,https://pmkisan.gov.in/
Pradhan Mantri Mudra Yojana (PMMY),Ministry of Finance,"Provides loans up to Rs 10 lakh to non-corporate, non-farm small/micro enterprises. Three products: Shishu (up to 50,000), Kishore (50,000-5 lakh), Tarun (5-10 lakh).",Any Indian citizen with a business plan for non-farm income generating activity,"Small business owners, entrepreneurs, MSMEs",Collateral-free loans up to Rs 10 lakh for business purposes,"Apply at any bank, MFI, or NBFC with business plan",https://www.mudra.org.in/,Central,msme_business,https://www.mudra.org.in/
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY),Ministry of Health and Family Welfare,World's largest health insurance scheme providing Rs 5 lakh coverage per family per year for secondary and tertiary care hospitalization.,"Families identified based on SECC database, no income ceiling for economically deprived",Poor and vulnerable families,"Rs 5 lakh health coverage per family, cashless treatment at empaneled hospitals","Check eligibility on mera.pmjay.gov.in, visit nearest CSC or empaneled hospital",https://pmjay.gov.in/,Central,healthcare,https://pmjay.gov.in/
Pradhan Mantri Awas Yojana (PMAY),Ministry of Housing and Urban Affairs,Housing for All mission providing assistance for construction or enhancement of houses to all eligible families.,"EWS/LIG/MIG households who do not own a pucca house, annual income criteria apply",Houseless and those living in kutcha houses,Subsidy ranging from Rs 1.5 lakh to Rs 2.67 lakh on home loan interest,Apply through PMAY portal or visit nearest CSC/bank,https://pmaymis.gov.in/,Central,housing,https://pmaymis.gov.in/
Sukanya Samriddhi Yojana,Ministry of Finance,Small savings scheme for girl child with attractive interest rate and tax benefits under Beti Bachao Beti Padhao campaign.,"Girl child below 10 years of age, one account per girl, max 2 accounts per family",Girl children and their parents/guardians,"High interest rate (currently 8.2%), tax exemption under 80C, maturity at 21 years",Open account at any post office or authorized bank with birth certificate,https://www.india.gov.in/sukanya-samriddhi-yojna,Central,women_welfare,https://www.india.gov.in/sukanya-samriddhi-yojna
Atal Pension Yojana (APY),Ministry of Finance (PFRDA),Guaranteed pension scheme for workers in unorganized sector providing fixed pension of Rs 1000-5000 per month after 60 years.,Indian citizen aged 18-40 years with bank account,Workers in unorganized sector,"Guaranteed pension Rs 1000-5000/month, government co-contribution for eligible subscribers",Enroll through bank or post office with Aadhaar,https://www.npscra.nsdl.co.in/,Central,senior_citizen,https://www.npscra.nsdl.co.in/
Stand Up India,Ministry of Finance,Facilitates bank loans between Rs 10 lakh and Rs 1 crore to SC/ST and women entrepreneurs for greenfield enterprises.,"SC/ST and/or Women entrepreneurs, above 18 years, for greenfield project","SC/ST entrepreneurs, Women entrepreneurs","Loans from Rs 10 lakh to Rs 1 crore for manufacturing, services or trading sector",Apply through standupmitra.in portal or visit any scheduled commercial bank,https://www.standupmitra.in/,Central,msme_business,https://www.standupmitra.in/
PM SVANidhi (Street Vendor's AtmaNirbhar Nidhi),Ministry of Housing and Urban Affairs,Micro credit facility for street vendors to resume their livelihood post COVID-19 lockdown.,"Street vendors operating on or before March 24, 2020",Street vendors,"Working capital loan up to Rs 10,000 (1st), Rs 20,000 (2nd), Rs 50,000 (3rd cycle)",Apply through pmsvanidhi.mohua.gov.in with vendor certificate,https://pmsvanidhi.mohua.gov.in/,Central,msme_business,https://pmsvanidhi.mohua.gov.in/
National Education Policy Scholarship,Ministry of Education,Various scholarship schemes for students at different levels of education based on merit and means.,Students from economically weaker sections with good academic record,"Students at school, college, and higher education levels","Financial assistance for tuition fees, maintenance allowance",Apply through National Scholarship Portal,https://scholarships.gov.in/,Central,education,https://scholarships.gov.in/
Pradhan Mantri Ujjwala Yojana,Ministry of Petroleum and Natural Gas,Provides free LPG connections to women of BPL households to ensure clean cooking fuel.,"Adult woman from BPL household, no existing LPG connection","BPL families, especially women","Free LPG connection, first refill and stove free",Apply at nearest LPG distributor with Aadhaar and BPL card,https://www.pmujjwalayojana.com/,Central,finance_subsidy,https://www.pmujjwalayojana.com/
PMEGP (Prime Minister's Employment Generation Programme),Ministry of MSME,Credit linked subsidy scheme to generate employment opportunities through establishment of micro enterprises.,"Individual above 18 years, 8th pass for projects above Rs 10 lakh in manufacturing","Unemployed youth, traditional artisans, rural population","Margin money subsidy 15-35% of project cost, loans up to Rs 50 lakh for manufacturing",Apply through KVIC/KVIB/DIC or online portal,https://www.kviconline.gov.in/pmegp/,Central,employment,https://www.kviconline.gov.in/pmegp/
Governance & Planning,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,social_welfare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=18&schemeCategoryName=Governance%20%26%20Planning
Schemes,,"Ministry Of Home Affairs Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,housing,"https://www.india.gov.in/my-government/schemes/search?pagenumber=1&nodalMinistryName=[""Ministry%20Of%20Home%20Affairs""]"
Housing & Local services,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,housing,https://www.india.gov.in/my-government/schemes/search?schemeCategory=3&schemeCategoryName=Housing%20%26%20Local%20services
"Citizenship, Visa & Passports",,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,social_welfare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=11&schemeCategoryName=Citizenship%2C%20Visa%20%26%20Passports
Benefits & Social development,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,social_welfare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=8&schemeCategoryName=Benefits%20%26%20Social%20development
Infrastructure & Industries,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,social_welfare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=15&schemeCategoryName=Infrastructure%20%26%20Industries
Business & Self-employed,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,msme_business,https://www.india.gov.in/my-government/schemes/search?schemeCategory=16&schemeCategoryName=Business%20%26%20Self-employed
Driving & Transport,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,social_welfare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=9&schemeCategoryName=Driving%20%26%20Transport
Defence & Foreign affairs,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,social_welfare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=17&schemeCategoryName=Defence%20%26%20Foreign%20affairs
Education & Learning,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,education,https://www.india.gov.in/my-government/schemes/search?schemeCategory=1&schemeCategoryName=Education%20%26%20Learning
Health & Wellness,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,healthcare,https://www.india.gov.in/my-government/schemes/search?schemeCategory=5&schemeCategoryName=Health%20%26%20Wellness
"Agriculture, Rural & Environment",,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,agriculture,https://www.india.gov.in/my-government/schemes/search?schemeCategory=12&schemeCategoryName=Agriculture%2C%20Rural%20%26%20Environment
Jobs,,"Source: The data presented on this page is sourced from myScheme. In case of any discrepancy, kindly contact the relevant government entity directly through this https://www.myscheme.gov.in/contact or provide feedback/suggestion via the feedback form given below. Could not find what you were looking for?",,,,,,Central,employment,https://www.india.gov.in/my-government/schemes/search?schemeCategory=2&schemeCategoryName=Jobs
